#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5263.735168384108     All      0.21769898373500457        0.06836669916534532       -0.8343562996885496        -0.08587592756579497       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7449.819690907082     All      0.3417715906608043         -0.053027972274311        0.1382863496082044         -0.12242812151100693       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3009    5284.881257056286     All      0.27971036314733944        0.048008260776732925      0.5527489152015036         -0.05080635211335521       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3521.3819617099734    All      -0.26528786052232617       0.10167800502349778       -0.026161609119853175      0.11836538276755833        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4707.129603292837     All      -0.3872006871725918        0.419695862384728         0.08240467600898618        0.26651009451809476        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6093.158848442599     All      0.9932494639924458         -0.07717834278615499      0.018047928577523006       -0.3478681565353356        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5264.35053804371      All      0.3678887240899236         0.19837033193006448       0.21353348878044173        -0.045688698435484905      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4308.954927527261     All      -0.5545942971676654        0.2919836356396921        -0.14219389240804747       0.26941282395682575        
Check         All|All|All                              All                   All      0.9932362807629345         0.9978964798595946        0.0023095569602086252      0.0016210450815012378      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5263.735168384108     All      0.00021797759867154133     7.135106468769723e-05     -0.0011105380329124123     -9.731929788040542e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7449.819690907082     All      -4.92712613338548e-05      -7.326295246011549e-06    -0.00033380653797010897    -1.2333972684240003e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3009    5284.881257056286     All      9.990792167322184e-05      1.6489358740207653e-05    0.0001942115466583668      -1.8505400990494437e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3521.3819617099734    All      -0.0005029844794446408     0.0001343653227291794     -0.00016433320343913244    0.00020027236263930266     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4707.129603292837     All      -0.00016703615212995492    -9.097742607469516e-05    -0.0009002433513670342     -1.5398896769388905e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6093.158848442599     All      -0.00011729526860378203    -1.483541172573169e-05    -0.0005517335795846139     8.75321057816229e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5264.35053804371      All      0.00010427470691239413     4.3324246802065574e-05    0.0001274849984162301      -1.4164500106614016e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4308.954927527261     All      -0.00040920041479792845    0.00010923540713498005    -0.0006893724034791073     0.00013810807904113056     
MWEBV         All|All|All                              All                   All      -1.0276775901414368        -3.9362843171099726       0.002876275901463916       -0.9473005463094578        
Redshift      All|All|All                              All                   All      5.848022117985968          0.12340772525085697       11.921054862811111         -1.3327133148306152        
