#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4375.77262935623     All      -0.16372414907834665       0.5744530358247957         0.42415360487585757       0.25937662174955534        
Zeropoint     AB|PS|PS_i                5300.008344551326    All      1.2453373314714529         0.26330914045153975        0.7133770005931305        -0.28804415046861703       
Zeropoint     AB|PS|PS_z                6091.002826099428    All      0.5834412243858461         0.019337060864543787       -0.7275916250059036       -0.21621635705117628       
Zeropoint     AB|PS|PS_g                3445.6744426179      All      -0.6747636193979455        0.1416863019954917         -0.41244366845578223      0.2475391331644935         
Check         All|All|All               All                  All      0.9902907873810068         0.9987855391363709         -0.0025046879926978183    0.0026552473942555166      
Lambda        AB|PS|PS_r                4375.77262935623     All      -0.00025614803610828584    -0.00014423288597936732    -0.0011397594007943402    -1.4407781035800028e-05    
Lambda        AB|PS|PS_i                5300.008344551326    All      0.00010739772030442224     3.0805676733517763e-06     -0.0019245201330133405    -0.00011986202307944566    
Lambda        AB|PS|PS_z                6091.002826099428    All      -0.0001684430994273799     -2.2057238245423074e-05    -0.0003647287308503067    3.140652281936964e-05      
Lambda        AB|PS|PS_g                3445.6744426179      All      -0.0009601814905902129     0.00017363471839552106     -0.0007720469790680996    0.00033486832991967566     
MWEBV         All|All|All               All                  All      -0.5015755238320518        -2.525937586781346         -0.09608537607718472      -0.6636891724664068        
Redshift      All|All|All               All                  All      3.4857157098721667         0.455853443870069          6.223865335201654         -0.70918329481416          
