#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4375.77262935623     All      -0.02042936589511446       0.6041577010888588         1.1617712781397227        0.2552930723417314         
Zeropoint     AB|PS|PS_i                5300.008344551326    All      1.0742142883694596         0.23498748719195106        0.0016938317707548833     -0.2732881909527411        
Zeropoint     AB|PS|PS_z                6091.002826099428    All      0.540146777563009          0.016903190512707056       -0.9388757967460748       -0.2123353652131968        
Zeropoint     AB|PS|PS_g                3445.6744426179      All      -0.6031198511476232        0.14253311087912834        -0.22290683060782746      0.2329363929099281         
Check         All|All|All               All                  All      0.9908118488897308         0.9985814896726453         0.0016824825565753265     0.002605909085721586       
Lambda        AB|PS|PS_r                4375.77262935623     All      -0.0003079356150965025     -0.00015053863221937283    -0.0012831865563590831    -5.993347017610665e-06     
Lambda        AB|PS|PS_i                5300.008344551326    All      0.00012529197496437324     4.612344849018732e-06      -0.0016369693723548237    -0.00011235975053028188    
Lambda        AB|PS|PS_z                6091.002826099428    All      -0.00022127502549891233    -2.528636518413009e-05     -0.0003541576334635217    4.8035525905628585e-05     
Lambda        AB|PS|PS_g                3445.6744426179      All      -0.0011119785513445761     0.00014827198034368885     -0.0016204940756706931    0.0003381898512447492      
MWEBV         All|All|All               All                  All      -0.48431603097933973       -2.5185701365071367        0.04065615225866681       -0.660809189794254         
Redshift      All|All|All               All                  All      3.5124090007835105         0.5369218739406989         6.567882504395928         -0.6761196168536057        
