#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4733.066573390852    All      0.20944862861492375       0.45832013407469674       1.115576538781582          0.13084869422568396       
Zeropoint     AB|PS|PS_i                5732.768692320985    All      0.4533830957113648        -0.04474138702850183      -2.6721415386779412        -0.28150093600610576      
Zeropoint     AB|PS|PS_g                3727.023295893069    All      -0.6803429395562447       0.4663904915668482        0.6111074289239404         0.4007997227640628        
Zeropoint     AB|PS|PS_z                6588.350062165318    All      1.0129871463554798        0.11735852529923818       0.9432040434789735         -0.24964484270346005      
Check         All|All|All               All                  All      0.9954759311255237        0.9973277639122813        -0.0022535274934454286     0.0005026382801809337     
Lambda        AB|PS|PS_r                4733.066573390852    All      2.5435535742112453e-05    4.015996479147112e-05     9.167683665527563e-05      8.887347124147045e-06     
Lambda        AB|PS|PS_i                5732.768692320985    All      -5.691680700290169e-05    7.042307908999548e-05     0.0013662433470329742      0.00010244795590762692    
Lambda        AB|PS|PS_g                3727.023295893069    All      -0.0012494872140680995    0.0008139272845935564     -0.00023345030529760223    0.00066170417160778       
Lambda        AB|PS|PS_z                6588.350062165318    All      -0.0006168535880806114    -0.0001190552616380115    -0.001267664243899789      0.00010557925896688236    
MWEBV         All|All|All               All                  All      -0.4717726757776699       -2.844560850760658        -0.009198302313162543      -0.7733056489901926       
Redshift      All|All|All               All                  All      3.1170928277282828        -1.2852141077416945       -10.471021920819922        -1.9012498171408168       
