#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4733.066573390852    All      0.34422553272057005        0.4539459261735601        1.2407945369135565        0.09111050326063432       
Zeropoint     AB|PS|PS_i                5732.768692320985    All      0.4199842075077722         -0.03848960447623284      -2.452824089432138        -0.2587982776013707       
Zeropoint     AB|PS|PS_g                3727.023295893069    All      -0.7990334492194879        0.4342407341207277        -0.2127922452821061       0.3922220344418786        
Zeropoint     AB|PS|PS_z                6588.350062165318    All      1.032615780767764          0.1487255474881266        1.4338840243572928        -0.22392446968817206      
Check         All|All|All               All                  All      0.9977920717766182         0.9984226033061816        0.00906222655660538       0.0006097904129701293     
Lambda        AB|PS|PS_r                4733.066573390852    All      -9.63951958527583e-06      -1.968142419667307e-06    -0.0001202000809966077    -2.865157632223691e-06    
Lambda        AB|PS|PS_i                5732.768692320985    All      -0.00011487601820540627    1.0415862161522138e-06    0.0005768749124274485     6.350145518700944e-05     
Lambda        AB|PS|PS_g                3727.023295893069    All      -0.0012396794592389518     0.0006761289384883801     -0.0008044460816864717    0.0005881430894255002     
Lambda        AB|PS|PS_z                6588.350062165318    All      -0.0005870252492190775     -9.940800281190739e-05    -0.0009799604637830736    0.00011510184458270002    
MWEBV         All|All|All               All                  All      -0.4841201887189617        -2.836410957429436        0.02322706930419398       -0.7651819740116612       
Redshift      All|All|All               All                  All      4.240684648913252          -0.2560563663864812       -2.8720579631982655       -1.592903243080748        
