#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3461.9322023119425    All      -0.7812532210485361        0.20492177688993252        -0.47824710382989855      0.2998876692878738         
Zeropoint     AB|PS|PS_i                5325.015426177028     All      1.0202412732041024         0.29995422834900864        -0.04358242125964695      -0.2365660705432135        
Zeropoint     AB|PS|PS_r                4396.418880494743     All      0.20945092981759295        0.4036515910659233         0.4661098761477911        0.08405788738781034        
Zeropoint     AB|PS|PS_z                6119.742064785954     All      0.5463018598236451         0.08918348933999454        0.05070883628151002       -0.14663558954823575       
Check         All|All|All               All                   All      0.9947408417968043         0.997711085644859          -0.00501081266024439      0.0007438965842349043      
Lambda        AB|PS|PS_g                3461.9322023119425    All      -0.000735947658501074      0.0002533302165373749      -4.59664169331605e-05     0.00032018908010378045     
Lambda        AB|PS|PS_i                5325.015426177028     All      0.00013463297286252836     5.547812082674013e-05      0.00023847156317807378    -1.5141448820974631e-05    
Lambda        AB|PS|PS_r                4396.418880494743     All      -0.00036913991811937       -0.0001953828465870683     -0.0023414546778402945    -4.788997372371945e-05     
Lambda        AB|PS|PS_z                6119.742064785954     All      -0.00012271400446017388    -1.2176194201495242e-05    0.0005251148285042434     5.9439264418162866e-05     
MWEBV         All|All|All               All                   All      -0.5878272202637738        -2.5154490981451616        -0.1470004768088118       -0.6344498186332883        
Redshift      All|All|All               All                   All      2.996811796775604          0.10400414580828965        -4.055610831613731        -1.123265907133028         
