#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3461.9322023119425    All      -0.7883217508620598       0.22477522987927046        -0.4077395199804092        0.311803474431275          
Zeropoint     AB|PS|PS_i                5325.015426177028     All      0.9203511610073511        0.2617332428215491         -0.45362234108025073       -0.23477660550937995       
Zeropoint     AB|PS|PS_r                4396.418880494743     All      0.2217317097023364        0.4164391446161986         0.8765994987894945         0.10254122679088697        
Zeropoint     AB|PS|PS_z                6119.742064785954     All      0.6408983411343524        0.09497770158564123        -0.014410932629728304      -0.17846740629282867       
Check         All|All|All               All                   All      0.9946594609819802        0.9979253189026593         0.0008267050991062706      0.0011006894199533102      
Lambda        AB|PS|PS_g                3461.9322023119425    All      -0.0010828755598722224    0.00029153073617247733     -0.00091418129964774       0.0004068936345253939      
Lambda        AB|PS|PS_i                5325.015426177028     All      0.0002170866637591604     6.235106375308295e-05      -0.00019555153100512743    -5.9129042265074886e-05    
Lambda        AB|PS|PS_r                4396.418880494743     All      -0.0003543569327657922    -0.00016672727854775437    -0.0023845343674347946     -4.52936658373059e-05      
Lambda        AB|PS|PS_z                6119.742064785954     All      -0.0001091959283885208    -2.012021002411412e-05     -0.00011302904954238815    2.3970924617947723e-05     
MWEBV         All|All|All               All                   All      -0.5566142429938488       -2.5191389472601244        -0.14431555847479285       -0.645699001881864         
Redshift      All|All|All               All                   All      4.027666470651616         -0.05525826375372134       3.168296878432279          -1.1885563720065522        
