#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_b       4273.330481803951     All      -0.38471363692067106      0.476444001634313         -0.24630565034985952      0.26951588418796524       
Zeropoint     VEGAHST|UVOT|UVOT_v       5309.217898666675     All      1.9985323755757194        0.3536384134653403        0.18404102624235974       -0.5275831731319791       
Zeropoint     VEGAHST|UVOT|UVOT_u       3409.1909037030096    All      -0.6118868041677938       0.16865575050752923       0.06740924611395305       0.257256554199653         
Check         All|All|All               All                   All      1.0019319344872546        0.9987381656071825        0.00514462200645327       -0.0008107347443608859    
Lambda        VEGAHST|UVOT|UVOT_b       4273.330481803951     All      -0.0005865955825027553    0.00011750872321973182    -0.0023185639828439816    0.0001258830749423002     
Lambda        VEGAHST|UVOT|UVOT_v       5309.217898666675     All      0.0014156971732749515     0.00012050107698112669    -0.0027913217368858113    -0.0005464518482889841    
Lambda        VEGAHST|UVOT|UVOT_u       3409.1909037030096    All      -0.0008012447536951091    0.00015134430063288993    0.00019701871120127688    0.00031908163445034987    
MWEBV         All|All|All               All                   All      -1.4834640190975077       -3.8379293782595525       0.07369859381906596       -0.7636379973318674       
Redshift      All|All|All               All                   All      -0.6442682434032503       -1.5609671637870193       1.7398549689601417        -0.22095726046782727      
