#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4273.330481803951     All      -0.4040610311806896       0.46656749554214727        -0.557262603468101        0.2587242834031619         
Zeropoint     VEGAHST|UVOT|UVOT_v       5309.217898666675     All      2.060912833215387         0.382288310024137          0.41577263803600917       -0.5282292090489631        
Zeropoint     VEGAHST|UVOT|UVOT_u       3409.1909037030096    All      -0.6701639786847807       0.15122602400143847        0.14259845543108748       0.2739172609382014         
Check         All|All|All               All                   All      0.9866878233499166        1.0000818295677227         0.001108489998995682      0.004412335292400205       
Lambda        VEGAHST|UVOT|UVOT_b       4273.330481803951     All      -0.0004537286639268548    7.324162306687031e-06      -0.002301452598819429     4.747681439585671e-05      
Lambda        VEGAHST|UVOT|UVOT_v       5309.217898666675     All      0.0010162995831046093     0.00011006215205494313     -0.0020240526337178787    -0.00038551551852410935    
Lambda        VEGAHST|UVOT|UVOT_u       3409.1909037030096    All      -0.0001974517263988783    -3.0429222821956534e-05    0.000635868555841326      8.278061750071123e-05      
MWEBV         All|All|All               All                   All      -1.5297554727266558       -3.840306652068115         0.10154707471127983       -0.7480909544319264        
Redshift      All|All|All               All                   All      -0.9242633824503271       -0.4021055229510573        -1.0728435636473888       0.12220791246891778        
