#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6122.989255024615    All      1.09049552126461           -0.047200173290207204      0.0016933893064889044     -0.37050934860580725       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7486.291930654987    All      0.35907881854340706        -0.03927899287692327       0.14368745670093538       -0.12334613350237858       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3538.621665820959    All      -0.29610876432357214       0.11720383461319983        -0.04587639800135591      0.13258225811419747        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4330.050369256073    All      -0.456057627263973         0.29686261708246064        -0.09689386355721673      0.24092696581078013        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5289.504947921873    All      0.5668292760694933         0.19982513150837988        -0.15526746373874792      -0.12647419775026772       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4730.174397199096    All      -0.27032553630642064       0.4708381762385194         0.15338739080060357       0.24826637950639177        
Check         All|All|All                              All                  All      0.9939116879835449         0.9982505932754293         0.0007305115107073268     0.0014459235729157582      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6122.989255024615    All      -7.014126524194808e-05     -2.914651352847383e-05     -0.0005088767756327394    -9.355493989645296e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7486.291930654987    All      -4.129770616254808e-05     -1.1713974756623717e-05    -0.0002317938143049911    -7.074987471854806e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3538.621665820959    All      -0.0004173656941776272     0.0001315725421954254      -9.609036949471812e-05    0.00017451917125481313     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4330.050369256073    All      -0.0003354816768693773     0.000123522527013401       -0.0005122356062663351    0.00012665404749976887     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5289.504947921873    All      0.00020946858072628253     4.503430543311123e-05      -0.0010853211117873758    -0.00010199454970945988    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4730.174397199096    All      -0.00014557405575162775    7.276018373987822e-06      -0.0006284720426987838    2.1742476962828075e-05     
MWEBV         All|All|All                              All                  All      -1.0560610767940966        -3.950885065390164         -0.009900363637767664     -0.9433812177245738        
Redshift      All|All|All                              All                  All      5.442640286013198          0.6587144667368428         7.250114048301584         -1.234742734416625         
