#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6122.989255024615    All      1.0467694039704796         -0.018512019118333         0.01948212686833095       -0.34612780837389295       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7486.291930654987    All      0.3498728523010174         -0.027729150029465188      0.1462506459524171        -0.11647090027198745       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3538.621665820959    All      -0.35137184458629983       0.1356406926571907         -0.04801920746464461      0.15649312893186784        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4330.050369256073    All      -0.40558612662843396       0.28414238054095264        -0.14039676355510622      0.21840200344050067        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5289.504947921873    All      0.5310173576501099         0.16735804383642972        -0.2967908516001039       -0.13170021514100796       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4730.174397199096    All      -0.17698992901444943       0.45724176087702517        0.32058028816517314       0.2208961528892845         
Check         All|All|All                              All                  All      0.9937117136924236         0.9981417087638            0.001106238366066492      0.0014923614747646696      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6122.989255024615    All      8.777186461574224e-05      -1.8515449203546473e-06    2.120947939279903e-05     -2.8246811354815446e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7486.291930654987    All      -7.702454456416e-06        -5.887912487108534e-06     -7.913002859548822e-05    -2.940153729079616e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3538.621665820959    All      -0.00021070588274737416    7.264287447918222e-05      8.249984669006581e-05     9.597760137560111e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4330.050369256073    All      -0.00030469374515833757    9.151832594290991e-05      -0.0006769187651672292    9.88515310336603e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5289.504947921873    All      0.00019712490098362052     3.722025951136594e-05      -0.001054387240025373     -9.91386623308569e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4730.174397199096    All      -0.00011515336769694406    2.717100825203916e-05      -0.0004372576852869912    2.684692933702457e-05      
MWEBV         All|All|All                              All                  All      -1.0991279542125532        -3.9352556952410467        -0.013704704164707593     -0.9244316890876413        
Redshift      All|All|All                              All                  All      4.18514064829427           0.9074043127448306         7.001220166549005         -0.755234258218966         
