#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6077.170968082255    All      1.0853992978951512         -0.024468593917426062      0.021726143379408036      -0.3605509479379799       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7430.272059065052    All      0.38114982393708574        -0.036584813793716364      0.2156421084216653        -0.12644679767981562      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4694.778534362914    All      -0.3133356224943035        0.42968826836551344        0.0061072755973778925     0.24229986567317843       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4297.648631799056    All      -0.5140937506574292        0.30032513079154555        -0.24109695437011247      0.2545239735180031        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3512.142183967878    All      -0.28673161896432464       0.1040576988279085         -0.07681718278891303      0.1238649393322971        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5250.537373366628    All      0.641900062219365          0.22537379004141656        0.07715880744523229       -0.13223306695698753      
Check         All|All|All                              All                  All      0.9942881919355443         0.9983914803152416         0.0027201976846580322     0.0014579659486955998     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6077.170968082255    All      -0.0002345932594987626     -2.9613614100604775e-05    -0.0009327568466352383    2.514396006812058e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7430.272059065052    All      -0.00011425032715142155    -7.644850496051292e-06     -0.0005309040711678484    1.1033100620643325e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4694.778534362914    All      -0.00020192712438561337    -5.382642930999802e-05     -0.001068606703667768     5.542595026485734e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4297.648631799056    All      -0.0002827778998735744     7.177162542681971e-05      -0.0005441460104702772    9.120570744819745e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3512.142183967878    All      -0.0005368449788733745     0.00012915006985076967     6.732297727838637e-05     0.00021994081322843098    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5250.537373366628    All      0.00011846918337010285     3.567582698001439e-05      -0.0011807088819321778    -7.965813459765369e-05    
MWEBV         All|All|All                              All                  All      -1.0369598486317035        -3.9183809711371254        -0.040389368855819896     -0.9403760475695991       
Redshift      All|All|All                              All                  All      7.0309726310699165         0.7042203241990563         12.238056785360696        -1.5147031033473761       
