#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6077.170968082255    All      1.1041260276687523         -0.03385647937763636       0.04069503501898831        -0.3688623085500936        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7430.272059065052    All      0.37203579868584175        -0.04317683133230332       0.09174102306383272        -0.13115443317863193       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4694.778534362914    All      -0.299353043107422         0.44653101067240186        0.07912912765406241        0.24649014471284378        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4297.648631799056    All      -0.5115123430401938        0.3033518201333685         -0.1571741504823217        0.2584141057190502         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3512.142183967878    All      -0.2673778054429033        0.09919291728985868        -0.04272396362322256       0.11749756994018909        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5250.537373366628    All      0.5962723956159736         0.22610800604994097        -0.011205189960151747      -0.12107475589269492       
Check         All|All|All                              All                  All      0.9941910303800487         0.9981504434356303         0.00046188167118742934     0.001310322750662618       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6077.170968082255    All      -0.00015336820154541542    -1.289525224331729e-05     -0.0005394093435924373     2.1685299423431345e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7430.272059065052    All      -7.385334745328439e-05     -9.592410332750407e-06     -0.0003677339641144062     4.521623464775352e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4694.778534362914    All      -0.0001436902759280618     -6.0935793641489806e-05    -0.0008988828240107963     -1.3157154593780817e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4297.648631799056    All      -0.00033314074957390576    0.00010770260386596183     -0.0005839727228442254     0.00011753716300006799     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3512.142183967878    All      -0.0005337275372393153     0.0001373040205349919      -0.00016148807140222373    0.00021137058371081517     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5250.537373366628    All      0.000187122213550641       3.625129552291765e-05      -0.0009183559388308631     -9.012562920115688e-05     
MWEBV         All|All|All                              All                  All      -1.0266355910689584        -3.9232059028597277        -0.020310405660579817      -0.9444146050052993        
Redshift      All|All|All                              All                  All      6.863551504639719          0.5707560153178193         11.148642039620732         -1.55225782732699          
