#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4459.714893661397    All      -0.9603641368551157        0.9070374278914883         0.11161237037112803        0.6132548727972146        
Zeropoint     AB|PS|PS_i                6859.767672295544    All      1.0127092060377187         -0.12357771971682752       0.38001286210047613        -0.35316780574813716      
Zeropoint     AB|PS|PS_z                7883.54688559925     All      0.29661662741504574        -0.06397644864897245       0.048431205595045324       -0.115295765764657        
Zeropoint     AB|PS|PS_r                5663.535163115788    All      0.6491294839299684         0.2786603081149863         -0.5399492909337833        -0.1447694555937819       
Check         All|All|All               All                  All      0.9980911805276171         0.9981435676406747         0.00010714713286619215     2.184569063851116e-05     
Lambda        AB|PS|PS_g                4459.714893661397    All      -0.00025468096269405416    7.355904889735099e-05      -0.0008492050565751441     6.902244913374932e-05     
Lambda        AB|PS|PS_i                6859.767672295544    All      -0.000744074592895558      -3.437360626287246e-06     -0.0011506155893289062     0.0001899032236258015     
Lambda        AB|PS|PS_z                7883.54688559925     All      -0.00013129528426130647    5.790195516548735e-05      0.00020348513862454635     7.070837244897612e-05     
Lambda        AB|PS|PS_r                5663.535163115788    All      -0.00010350847477662059    -4.5949361673694686e-05    -1.3339120350641522e-07    1.8742944139428508e-05    
MWEBV         All|All|All               All                  All      -0.6111531080001251        -3.6986285888390924        0.005744240519134358       -1.0054359999634677       
Redshift      All|All|All               All                  All      4.475956760246322          0.8703740365563206         -0.14655063504538934       -1.1809967950134266       
