#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4459.714893661397    All      -0.9796263185713633        0.9176266682326073        0.08553877971477601        0.6218149184445912        
Zeropoint     AB|PS|PS_i                6859.767672295544    All      0.9912570619922685         -0.13211320474919575      0.28995135085528423        -0.35297945657143004      
Zeropoint     AB|PS|PS_z                7883.54688559925     All      0.3255080800687864         -0.06888674018714624      0.0483485781106132         -0.12630979317745233      
Zeropoint     AB|PS|PS_r                5663.535163115788    All      0.6607321519401335         0.28192391097885405       -0.4226593939664503        -0.1422516540503854       
Check         All|All|All               All                  All      0.997870975429825          0.9985506342751194        0.0011793147142231675      0.0002740146453234782     
Lambda        AB|PS|PS_g                4459.714893661397    All      -0.0002953327021987674     0.00010363668877057326    -0.0008700249898632011     9.11322369244567e-05      
Lambda        AB|PS|PS_i                6859.767672295544    All      -0.0007487253552077328     -3.522676735430103e-06    -0.0011295032100081936     0.00019233248817628016    
Lambda        AB|PS|PS_z                7883.54688559925     All      -0.00013016673067887494    5.982075108373546e-05     0.00019886803034846552     7.075974003920202e-05     
Lambda        AB|PS|PS_r                5663.535163115788    All      -0.00010130262615551145    -5.251930861361212e-05    -2.5731183049819746e-05    1.4742066926408475e-05    
MWEBV         All|All|All               All                  All      -0.61611942060496          -3.69859862823656         -0.0019836880984551385     -1.0041534113684327       
Redshift      All|All|All               All                  All      4.449235847864739          0.9333021006442621        0.7704106870307346         -1.1108754016603475       
