#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                7360.692641026642     All      0.6528678544090054         -0.1082034703763668        -0.043618434890038645     -0.2498524594023803        
Zeropoint     AB|PS|PS_i                6404.8127267248665    All      1.0108242608308835         0.026386418852553106       0.39129831679121096       -0.30320194546512524       
Zeropoint     AB|PS|PS_g                4163.936750197322     All      -0.7217338221373565        0.7034196066532772         0.05564918494886966       0.46670272544906477        
Zeropoint     AB|PS|PS_r                5287.917000086848     All      0.05426445362163129        0.37726923409451274        -0.4020150268991847       0.08727319927937888        
Check         All|All|All               All                   All      0.9962227467241638         0.9988717892239762         0.0013140399508572709     0.0009215198609380804      
Lambda        AB|PS|PS_z                7360.692641026642     All      -0.0001966384010973865     -0.00017405516563892895    -0.0014509722296772456    -5.739412378088765e-05     
Lambda        AB|PS|PS_i                6404.8127267248665    All      -0.00029052910687174375    -5.910935367205588e-05     -0.0004950677592915606    5.3288426767669064e-05     
Lambda        AB|PS|PS_g                4163.936750197322     All      -0.0006318348932244982     0.0005108010777230804      -0.0005917190579167933    0.0003457884234569961      
Lambda        AB|PS|PS_r                5287.917000086848     All      2.307059827502656e-06      4.7070072140020034e-05     -0.0008023775027543851    -2.1225636991802405e-05    
MWEBV         All|All|All               All                   All      -0.5225134229009711        -3.3651674746252525        -0.023848325893305065     -0.9270101864402814        
Redshift      All|All|All               All                   All      6.097822342340461          0.3296938663220672         4.9618323903629715        -1.6574454197194353        
