#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                7360.692641026642     All      0.6189217872553265         -0.08598425958936673       0.018434635359754203      -0.22878843706853647       
Zeropoint     AB|PS|PS_i                6404.8127267248665    All      0.9665192041340002         0.006687368265900773       0.2566957875461684        -0.30119365243461704       
Zeropoint     AB|PS|PS_g                4163.936750197322     All      -0.7042870624326           0.6863911348858664         0.1518992938222885        0.45976820865541373        
Zeropoint     AB|PS|PS_r                5287.917000086848     All      0.11496673310762123        0.39157961481386394        -0.42580152339014576      0.07110034951198461        
Check         All|All|All               All                   All      0.9961206620643477         0.9986738583762644         0.001228193338065342      0.000886468664244841       
Lambda        AB|PS|PS_z                7360.692641026642     All      -0.0002322961735367014     -0.00017838926019408393    -0.0015784181049168177    -5.2878295449832755e-05    
Lambda        AB|PS|PS_i                6404.8127267248665    All      -0.00037153823341905517    -6.307941135011061e-05     -0.0005282545410263219    7.690161236102231e-05      
Lambda        AB|PS|PS_g                4163.936750197322     All      -0.0005661437822801553     0.00043223799070833766     -0.000653179395905441     0.0002960573927522631      
Lambda        AB|PS|PS_r                5287.917000086848     All      -3.488744639111564e-05     3.133227072195077e-05      -0.000911891429700496     -1.9123585913974452e-05    
MWEBV         All|All|All               All                   All      -0.5259564269362946        -3.36038692299212          -0.00854640664513795      -0.9236486494352474        
Redshift      All|All|All               All                   All      6.443592068810805          0.4969741955465068         5.276196512241193         -1.7015566615919397        
