#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5420.949324246449    All      0.6977087999337205         0.33036053208537197       -0.595765256740266        -0.14624368339471172      
Zeropoint     AB|SDSS|SDSS_g            4148.576521513891    All      -0.7189033641882007        0.6124961038594279        0.008855428516496566      0.43407578558774873       
Zeropoint     AB|SDSS|SDSS_i            6573.848541094899    All      0.9219677359811387         -0.008511232110741673     0.23848083338056103       -0.29244530746538877      
Zeropoint     AB|SDSS|SDSS_u            3154.936643852051    All      -0.0878813754255897        0.07201208099090195       0.21140681274331996       0.0615166741896829        
Zeropoint     AB|SDSS|SDSS_z            7815.757928204718    All      0.17908643176061018        -0.005733625345882842     0.1414654857770703        -0.053889018096102415     
Check         All|All|All               All                  All      0.9919782280616789         1.0006238594790773        0.00444330367718182       0.0030144508212287258     
Lambda        AB|SDSS|SDSS_r            5420.949324246449    All      0.0002289223693008779      7.131778710679112e-05     -0.0008893724329323411    -9.10256043992891e-05     
Lambda        AB|SDSS|SDSS_g            4148.576521513891    All      -0.0006562426948218755     0.00031912113620709363    -0.0012898199548957697    0.00026014934762483673    
Lambda        AB|SDSS|SDSS_i            6573.848541094899    All      -0.00034700901431248805    -3.53082449580588e-05     -0.000533919193735262     7.77048338152112e-05      
Lambda        AB|SDSS|SDSS_u            3154.936643852051    All      -7.193918382224348e-05     5.06887189189784e-05      0.00012430075367772061    4.549091400490867e-05     
Lambda        AB|SDSS|SDSS_z            7815.757928204718    All      5.4884184267569565e-06     4.826555505670667e-06     4.759771392120688e-05     1.9084768358693984e-06    
MWEBV         All|All|All               All                  All      -0.8059747371811294        -3.3915690364205275       0.08990546900948804       -0.838201058627068        
Redshift      All|All|All               All                  All      4.035507195847369          -0.7474434734593416       4.783045185185775         -1.34451904851344         
