#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3140.0754521392632    All      -0.09128377588802708      0.05571254516691937       0.13515013313827368       0.05391266752276545       
Zeropoint     AB|SDSS|SDSS_z            7778.942140737756     All      0.10386529171992344       -0.0023143945567127844    0.06464579382391812       -0.031701372157250635     
Zeropoint     AB|SDSS|SDSS_r            5395.414178452025     All      0.8941039579188366        0.35137426148939          -0.030299902540262373     -0.1781370628916816       
Zeropoint     AB|SDSS|SDSS_i            6542.882713730214     All      0.9124195653817171        0.006739790992504879      0.26341365697053415       -0.28325475680268697      
Zeropoint     AB|SDSS|SDSS_g            4129.034832414831     All      -0.825843083265134        0.5891908490081477        -0.4247391826534281       0.4419689460096945        
Check         All|All|All               All                   All      0.9932619558673159        1.0007030521002491        0.00817049873903547       0.002788421680840758      
Lambda        AB|SDSS|SDSS_u            3140.0754521392632    All      -6.457256405045854e-05    3.962050415498807e-05     9.74931611963592e-05      3.828978217894066e-05     
Lambda        AB|SDSS|SDSS_z            7778.942140737756     All      1.353621285413147e-06     8.078690998820352e-07     1.1979556519387809e-05    3.568231458061949e-07     
Lambda        AB|SDSS|SDSS_r            5395.414178452025     All      0.0002076989386047925     4.501629329659276e-05     -0.0007067658609872177    -8.453080399460866e-05    
Lambda        AB|SDSS|SDSS_i            6542.882713730214     All      -0.0002602512310120689    -1.760320116077758e-05    -0.0003042095533426589    6.546297102389155e-05     
Lambda        AB|SDSS|SDSS_g            4129.034832414831     All      -0.0007526327406477089    0.00034895420285861246    -0.001438855052702399     0.0002946136160541019     
MWEBV         All|All|All               All                   All      -0.7653762417094825       -3.370911553141198        0.2581690891239213        -0.837187669779068        
Redshift      All|All|All               All                   All      5.118974915792863         -0.42554760704600625      5.716690335587693         -1.5509237611932754       
