#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3140.0754521392632    All      -0.06111611938114822       0.057690182156555636      0.242630987010517          0.04952662760851619       
Zeropoint     AB|SDSS|SDSS_z            7778.942140737756     All      0.12421037960287423        -0.0012844648573206996    0.09460259377715996        -0.03665612023215766      
Zeropoint     AB|SDSS|SDSS_r            5395.414178452025     All      0.8723321314319248         0.3506000803787046        -0.18173525512793498       -0.17805530325920105      
Zeropoint     AB|SDSS|SDSS_i            6542.882713730214     All      0.8741027399326007         0.010135115496012759      0.2661188872943532         -0.26954701526946634      
Zeropoint     AB|SDSS|SDSS_g            4129.034832414831     All      -0.814723591054399         0.5836477362588965        -0.40325353395660457       0.4375001932121305        
Check         All|All|All               All                   All      0.9948055405318526         1.0007886494328488        0.018363678997490585       0.0027683820598216613     
Lambda        AB|SDSS|SDSS_u            3140.0754521392632    All      -5.2651193452361384e-05    3.899668121441823e-05     0.00012893259985074317     3.56063976698148e-05      
Lambda        AB|SDSS|SDSS_z            7778.942140737756     All      1.4820939147302401e-06     2.1496015300351904e-06    2.499376513079835e-05      1.3327861362294215e-06    
Lambda        AB|SDSS|SDSS_r            5395.414178452025     All      0.00018517021163341844     4.1948471036043285e-05    -0.0008029940835654005     -8.248597069896907e-05    
Lambda        AB|SDSS|SDSS_i            6542.882713730214     All      -0.00031324911793577614    -2.968645628122482e-05    -0.00042986949502697215    7.318258659148409e-05     
Lambda        AB|SDSS|SDSS_g            4129.034832414831     All      -0.0006777004543280955     0.00029732904917261464    -0.0012901257370871568     0.00026002680049503897    
MWEBV         All|All|All               All                   All      -0.8079006984848198        -3.3774032110878593       0.06673758787951733        -0.8339933104441518       
Redshift      All|All|All               All                   All      5.172782301920969          -0.2521565892035227       5.560015577658994          -1.518963113024498        
