#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            7076.955821354113     All      0.5585851227602104         -0.1475196553179181        -0.327294794819899        -0.2446072198594315       
Zeropoint     AB|SDSS|SDSS_r            5835.823359432298     All      1.0547332088889265         0.34675940133999106        0.20789953302466913       -0.22133275945425274      
Zeropoint     AB|SDSS|SDSS_z            8413.910546087902     All      0.2214483848192313         -0.025148644558736777      0.11957754488720607       -0.07498856864117942      
Zeropoint     AB|SDSS|SDSS_g            4466.073804519206     All      -0.6470031894126465        0.6828861114602347         -0.10528600302084357      0.42849026659903117       
Zeropoint     AB|SDSS|SDSS_u            3396.3890570550743    All      -0.19297132344336154       0.14290308301054822        0.1067706213163655        0.11417002657141753       
Check         All|All|All               All                   All      0.9947922036123602         0.9998802959341191         0.001666901387498143      0.0017317452155850288     
Lambda        AB|SDSS|SDSS_i            7076.955821354113     All      -0.00044920086286685335    -0.00012443122268911524    -0.0013017278889065986    4.7698019347730974e-05    
Lambda        AB|SDSS|SDSS_r            5835.823359432298     All      -0.00036234134971018254    -0.00012395503936163413    -0.0005374768514075964    5.36651406207517e-05      
Lambda        AB|SDSS|SDSS_z            8413.910546087902     All      4.1005526987724825e-05     -8.047497954570426e-07     4.104351515066249e-05     -1.178739909040427e-05    
Lambda        AB|SDSS|SDSS_g            4466.073804519206     All      -0.00030379262920963046    0.00016508449058625014     -0.0005857584364916742    0.00012658899478714048    
Lambda        AB|SDSS|SDSS_u            3396.3890570550743    All      -0.00017044187306550532    0.00015705429971933375     0.00025101124875957163    0.00011787775695925095    
MWEBV         All|All|All               All                   All      -0.865795986579859         -3.7729768265042374        -0.02289285582146583      -0.9479860459843386       
Redshift      All|All|All               All                   All      8.275518561985264          0.42995096511875275        3.590439995563388         -2.395334631099129        
