#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            7076.955821354113     All      0.6550310117367037         -0.08707228733930705       0.09496034106120804        -0.23748981509792355       
Zeropoint     AB|SDSS|SDSS_r            5835.823359432298     All      0.9101498386418013         0.31138868427404987        -0.15050823092943658       -0.20175269772152582       
Zeropoint     AB|SDSS|SDSS_z            8413.910546087902     All      0.22091672191858971        -0.026468639488452794      0.10936142847462765        -0.0757012526729702        
Zeropoint     AB|SDSS|SDSS_g            4466.073804519206     All      -0.5967331673661331        0.6650238279280352         -0.10099739256609346       0.40648871417348975        
Zeropoint     AB|SDSS|SDSS_u            3396.3890570550743    All      -0.19499562398001752       0.1375682946254564         0.04973577148416773        0.11054648837094623        
Check         All|All|All               All                   All      0.9943687809509442         1.0004398799997816         0.002551917524473396       0.002091437052016379       
Lambda        AB|SDSS|SDSS_i            7076.955821354113     All      -0.00046918642386421544    -0.00013930513224796857    -0.001285731857595339      5.007688179989754e-05      
Lambda        AB|SDSS|SDSS_r            5835.823359432298     All      -0.0003304775502680796     -9.581990935694199e-05     -0.00031815170532279705    6.22380642612099e-05       
Lambda        AB|SDSS|SDSS_z            8413.910546087902     All      3.0623108402187415e-05     -5.13129582373941e-06      5.97155467229817e-06       -1.1379902682678169e-05    
Lambda        AB|SDSS|SDSS_g            4466.073804519206     All      -0.000334871258884096      0.00026029995926034436     -0.00046226273882142067    0.00017323818336348722     
Lambda        AB|SDSS|SDSS_u            3396.3890570550743    All      -0.00020852833724903705    0.00014271656427399155     5.161421373771658e-05      0.00011671532534367942     
MWEBV         All|All|All               All                   All      -0.8591888419076468        -3.7476004607468916        0.06419671919003474        -0.9379858854430653        
Redshift      All|All|All               All                   All      8.551653918726858          0.0898606083148401         5.064073695996079          -2.5302981153291713        
