#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4285.826878742678     All      -0.5728832651818847        0.540124586321511          -0.6443282681433349       0.3337898627908009        
Zeropoint     AB|SDSS|SDSS_r            5600.294511062592     All      0.5623782829220277         0.2661013061828754         -1.9916385213783054       -0.18538483849119877      
Zeropoint     AB|SDSS|SDSS_i            6791.335926455688     All      0.9808618176922557         0.07261850748783161        1.8710134969363343        -0.21234998733685545      
Zeropoint     AB|SDSS|SDSS_u            3259.3136944276707    All      -0.11651533323676333       0.12024418669867032        0.5199136179870778        0.10032172169370142       
Zeropoint     AB|SDSS|SDSS_z            8074.332299943284     All      0.14046241341520435        0.0013650459752767574      0.2601543604346557        -0.0336990944822084       
Check         All|All|All               All                   All      0.9943039156108398         1.000453632666165          0.0151146858364275        0.002677664174239716      
Lambda        AB|SDSS|SDSS_g            4285.826878742678     All      -0.00026274033622603803    0.00014649050446658506     -0.0009332351622680581    9.16539490103906e-05      
Lambda        AB|SDSS|SDSS_r            5600.294511062592     All      7.122403982241015e-06      -1.2624931948940855e-06    0.0005103275377761074     2.004233729582789e-05     
Lambda        AB|SDSS|SDSS_i            6791.335926455688     All      -0.0006006954803478861     -5.17216623607778e-05      -0.0010289561533491092    0.00013290124592126398    
Lambda        AB|SDSS|SDSS_u            3259.3136944276707    All      -8.497188220643977e-05     9.256758648155651e-05      0.00039595781866619864    7.550022470529821e-05     
Lambda        AB|SDSS|SDSS_z            8074.332299943284     All      -1.0414929128598851e-05    1.0591507535239775e-06     -1.643607841833611e-05    3.0040186119904824e-06    
MWEBV         All|All|All               All                   All      -0.8443873316152737        -3.456739994707192         0.8927958066377445        -0.8110878298314486       
Redshift      All|All|All               All                   All      3.9476339639969122         0.33512670121389476        -8.899415429670498        -1.5738525005367674       
