#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                6053.09150269883     All      1.1799790583547187         -0.217144181485196         -1.7238874020899186       -0.5320181804319979       
Zeropoint     AB|PS|PS_g                3935.273556902784    All      -1.0870668905571517        0.402278638222775          -1.318812033722483        0.4262763127556829        
Zeropoint     AB|PS|PS_z                6956.479132241478    All      0.3606484831509565         0.05661110187986651        0.4569709773848185        -0.07864246168383382      
Zeropoint     AB|PS|PS_r                4997.530267613299    All      0.5454041165744926         0.7563730279397163         2.5979714842480903        0.18465505039322871       
Check         All|All|All               All                  All      0.998964767523016          0.9981185865571618         0.012243025820507292      0.0002707210330799015     
Lambda        AB|PS|PS_i                6053.09150269883     All      -0.00039336984945114795    7.79126983448332e-05       0.0001628052011342986     0.00016077747894181762    
Lambda        AB|PS|PS_g                3935.273556902784    All      -0.0010041153605062796     0.00026744020954523796     -0.0018948423181322437    0.0003296293721392184     
Lambda        AB|PS|PS_z                6956.479132241478    All      -0.0002909362471668758     -4.09916023139594e-05      -0.0006253906606770979    5.35068808925583e-05      
Lambda        AB|PS|PS_r                4997.530267613299    All      -0.00014702819401062495    -0.00017962874613996812    -0.0012714994842897523    -6.736025455278151e-05    
MWEBV         All|All|All               All                  All      -0.5079807644085981        -3.0730739526330098        0.08780482592906091       -0.8316169143557428       
Redshift      All|All|All               All                  All      3.9111937501265928         0.29113892024064114        -2.567531275896767        -1.2937480829588954       
