#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6053.09150269883     All      1.1406279108925659         -0.296715017940663         -2.1743730992581365       -0.5652221639842324        
Zeropoint     AB|PS|PS_g                3935.273556902784    All      -1.014126441556051         0.3948824339168766         -1.2682836051869806       0.40236287347306554        
Zeropoint     AB|PS|PS_z                6956.479132241478    All      0.3717945780830184         0.07931516139532135        0.5106185408188912        -0.07248360801156645       
Zeropoint     AB|PS|PS_r                4997.530267613299    All      0.500672541378412          0.8192283347932872         2.94367043097851          0.23512659363483096        
Check         All|All|All               All                  All      0.9989685887979454         0.9967109121648221         0.011632267352284398      -0.00021630488790236324    
Lambda        AB|PS|PS_i                6053.09150269883     All      -0.00026161071562203533    3.059527273384062e-05      -5.683652781621353e-05    9.264475050327516e-05      
Lambda        AB|PS|PS_g                3935.273556902784    All      -0.0011455525981132083     0.0003743005980160181      -0.0018981083828569496    0.000410362328233819       
Lambda        AB|PS|PS_z                6956.479132241478    All      -0.0003254700380597239     -5.1811721887901855e-05    -0.0008197735545580373    5.2556788012172946e-05     
Lambda        AB|PS|PS_r                4997.530267613299    All      -6.519580502314586e-05     -3.774520539135715e-05     -0.0005967764710956452    -1.7689829611828887e-05    
MWEBV         All|All|All               All                  All      -0.4978768803209226        -3.0754102291517427        0.1153742502076029        -0.8344387871506119        
Redshift      All|All|All               All                  All      3.7355171525328936         -0.18122397921889188       -1.993596576433964        -1.3647765025157128        
