#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5950.674356788682     All      1.1923828538222605         0.05122581385261782        -0.7675454180816865       -0.40596441766997843      
Zeropoint     AB|PS|PS_g                3868.689483971794     All      -0.7874491087026533        0.4848082369509399         0.10313016799855088       0.4190182992408452        
Zeropoint     AB|PS|PS_r                4912.9730151117765    All      0.03820741684490925        0.45691901453430717        -0.09240772788559198      0.13226441008764556       
Zeropoint     AB|PS|PS_z                6838.776841108094     All      0.5530926823381925         0.0057595224234319176      0.7599693245886904        -0.14437047636681108      
Check         All|All|All               All                   All      0.9962338443027088         0.9987125877612968         0.0031463466199627144     0.000947815291701265      
Lambda        AB|PS|PS_i                5950.674356788682     All      -0.00021211249779421674    1.1401776707907142e-06     0.0003700522516850981     8.597714460777391e-05     
Lambda        AB|PS|PS_g                3868.689483971794     All      -0.001004642759833601      0.00047316475847666856     -0.0006057448739298813    0.00045433891549898233    
Lambda        AB|PS|PS_r                4912.9730151117765    All      -0.0002072427205643293     -4.2248908048209405e-05    -0.0009923982892102662    9.457735144727497e-06     
Lambda        AB|PS|PS_z                6838.776841108094     All      -0.0004882827252516151     -2.6922401800819258e-06    -0.0006936891753997305    0.0001272166345412932     
MWEBV         All|All|All               All                   All      -0.49192826764619246       -3.0030386637729833        0.06856622053063337       -0.8148914735876528       
Redshift      All|All|All               All                   All      5.222909349671752          0.3918685146429013         4.887490439206229         -1.3555226856213671       
