#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5950.674356788682     All      1.2390655292606974         0.06506379493789183       -0.5187627793071581       -0.40556098862797596      
Zeropoint     AB|PS|PS_g                3868.689483971794     All      -0.8247004968820724        0.4888906222754841        0.0023551087584783303     0.4279849410610645        
Zeropoint     AB|PS|PS_r                4912.9730151117765    All      0.06887272653623011        0.43685723122024456       -0.1555375722847474       0.11292373201335637       
Zeropoint     AB|PS|PS_z                6838.776841108094     All      0.5135439152464243         0.007640063837932587      0.6744390990287785        -0.13469240874317556      
Check         All|All|All               All                   All      0.9967816741612793         0.998451712271553         0.0024938561953513627     0.0006552757032693424     
Lambda        AB|PS|PS_i                5950.674356788682     All      -0.0002933869343619989     -4.297771246813641e-06    0.00014337433125129081    0.00010056398908684432    
Lambda        AB|PS|PS_g                3868.689483971794     All      -0.0009782877014964816     0.0004529874291058531     -0.0005770607573299812    0.0004404618263348949     
Lambda        AB|PS|PS_r                4912.9730151117765    All      -0.00017683798125505128    -7.345194923763256e-05    -0.001048979305234166     -1.313489667741435e-05    
Lambda        AB|PS|PS_z                6838.776841108094     All      -0.0005564050017440381     -8.687152676280992e-06    -0.000769243595290371     0.0001440819141736079     
MWEBV         All|All|All               All                   All      -0.49748362712060556       -3.0008986142460614       0.05380385943039023       -0.8130436020793136       
Redshift      All|All|All               All                   All      5.268794662770918          0.6301586902544898        5.854210465033272         -1.2497098172009349       
