#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6570.416372380243    All      0.9244595365458631         -0.00934806510493047      0.01603946322752128       -0.30345608963798804       
Zeropoint     AB|SDSS|SDSS_u            3153.289469479526    All      -0.08797761814634947       0.07884236771253939       0.3271233270061394        0.06893676926994462        
Zeropoint     AB|SDSS|SDSS_g            4146.410573445801    All      -0.8382304701596077        0.533013052120701         -1.1094208168254178       0.39715077210919436        
Zeropoint     AB|SDSS|SDSS_z            7811.677365703952    All      0.09136274623955895        0.0020230440473056888     0.09333126354996155       -0.02493593455567053       
Zeropoint     AB|SDSS|SDSS_r            5418.119077617232    All      0.9047668001887179         0.3968502377354355        0.6918560363500086        -0.13457077702714376       
Check         All|All|All               All                  All      0.9943809946681827         1.0013806365110511        0.018929273308213035      0.003124740158336664       
Lambda        AB|SDSS|SDSS_i            6570.416372380243    All      -0.00028208163117859355    1.2282725173253095e-05    6.881040790332918e-05     9.895484763342108e-05      
Lambda        AB|SDSS|SDSS_u            3153.289469479526    All      -7.159010278136112e-05     6.358907672157712e-05     0.0002602306216263721     5.564520347418607e-05      
Lambda        AB|SDSS|SDSS_g            4146.410573445801    All      -0.0007124256848577698     0.00031290892671007666    -0.0018243137470732073    0.0002525744717325137      
Lambda        AB|SDSS|SDSS_z            7811.677365703952    All      -2.143400997918264e-06     -3.204127535737953e-07    -3.706832920307955e-06    4.2838831734927644e-07     
Lambda        AB|SDSS|SDSS_r            5418.119077617232    All      0.0002267408229180822      9.676647028572855e-05     0.0003574943330346227     -2.6383592510296528e-05    
MWEBV         All|All|All               All                  All      -0.7597788181817884        -3.3589181467675644       0.5642879150083996        -0.8214436104982493        
Redshift      All|All|All               All                  All      3.775854992724951          -1.0972957127528105       -5.46714449946235         -1.831319055994822         
