#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5228.174520602163     All      0.8388482977773404        0.3815380521359657        0.09267718116855996        -0.14482523512093876      
Zeropoint     AB|SDSS|SDSS_u            3042.743694674596     All      -0.056934605396344304     0.03590037845064842       0.12959957390069066        0.03602284217309034       
Zeropoint     AB|SDSS|SDSS_g            4001.0486667964324    All      -0.9057210586470743       0.5351080723292156        -0.4746903717698715        0.44814219871134126       
Zeropoint     AB|SDSS|SDSS_z            7537.821148164744     All      0.07801134832795437       0.005361242824264423      0.08809391136523072        -0.019733302816499456     
Zeropoint     AB|SDSS|SDSS_i            6340.075398072021     All      1.0395899123797776        0.0425224070156105        0.17253603239486254        -0.31707819834725437      
Check         All|All|All               All                   All      0.9937938944416534        1.0004301527557047        0.00821632705947234        0.002528304599739073      
Lambda        AB|SDSS|SDSS_r            5228.174520602163     All      0.00030136040265166204    0.00012152133294809896    -0.00012319336606295698    -6.407705565283003e-05    
Lambda        AB|SDSS|SDSS_u            3042.743694674596     All      -5.604137838361086e-05    3.735288135529706e-05     0.00014284494560834858     3.679609683623833e-05     
Lambda        AB|SDSS|SDSS_g            4001.0486667964324    All      -0.000799299237134637     0.00028917249694169865    -0.0015623642394185986     0.0002848299131192142     
Lambda        AB|SDSS|SDSS_z            7537.821148164744     All      -8.88873676528038e-06     1.5687314027479761e-07    -2.0979705975398993e-06    2.8528299458280824e-06    
Lambda        AB|SDSS|SDSS_i            6340.075398072021     All      -0.0003086166183420997    -2.791748755638482e-05    -0.00022913925519921306    8.120750906300415e-05     
MWEBV         All|All|All               All                   All      -0.6911343967985872       -3.233942447606708        0.3277925163142518         -0.813648363541716        
Redshift      All|All|All               All                   All      5.4298779437160665        -0.04997989549817561      -2.849902917079546         -1.9121480582586776       
