#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5228.174520602163     All      0.7937534139620972        0.3874191800207427         -0.03694648074456519       -0.13400517974050813       
Zeropoint     AB|SDSS|SDSS_u            3042.743694674596     All      -0.03332160652610208      0.025589277556470336       0.10382240165086043        0.023822330002847003       
Zeropoint     AB|SDSS|SDSS_g            4001.0486667964324    All      -0.8576347828361942       0.5547608895081879         -0.2362594580189295        0.44952056240905175        
Zeropoint     AB|SDSS|SDSS_z            7537.821148164744     All      0.08038839032206234       0.00548732169871613        0.09792514086913451        -0.020027792939503186      
Zeropoint     AB|SDSS|SDSS_i            6340.075398072021     All      1.0125843700605068        0.026494322229986267       0.0792508735833572         -0.31766536747543994       
Check         All|All|All               All                   All      0.99576978498237          0.9997509910141034         0.00779247733985744        0.0016445522564474957      
Lambda        AB|SDSS|SDSS_r            5228.174520602163     All      0.00021243477211130616    0.00012339585694844435     -0.0004660921672592081     -4.9802456702727464e-05    
Lambda        AB|SDSS|SDSS_u            3042.743694674596     All      -4.728010764868518e-05    3.2871472717795894e-05     0.00012475701478858423     3.1675339215803624e-05     
Lambda        AB|SDSS|SDSS_g            4001.0486667964324    All      -0.0008425053454594846    0.00035889533109393474     -0.0014804806958890761     0.0003252686714060638      
Lambda        AB|SDSS|SDSS_z            7537.821148164744     All      -9.069891242682676e-06    2.557255292893442e-07      -1.6266819063698455e-06    2.9650688439085834e-06     
Lambda        AB|SDSS|SDSS_i            6340.075398072021     All      -0.0002370542163316863    -1.1619816728654249e-05    -4.973485373974484e-06     7.320945671231191e-05      
MWEBV         All|All|All               All                   All      -0.6620350353492017       -3.2512746091889255        0.2719884140517548         -0.8312629189298482        
Redshift      All|All|All               All                   All      5.56329553844399          -0.2689470309864106        -1.8498785822565755        -1.9823048648858477        
