#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3427.5249234795483    All      -0.701778386941027        0.1821101998404906        0.39217664952777614       0.3054126344517339         
Zeropoint     VEGAHST|UVOT|UVOT_v       5337.769924265001     All      2.053445020035972         0.40491190956224443       0.8489352026966386        -0.49909739013169          
Zeropoint     VEGAHST|UVOT|UVOT_b       4296.311689890592     All      -0.35852415626661094      0.41283808886669604       -1.217046812722187        0.196946850746048          
Check         All|All|All               All                   All      0.9931424768283342        0.9998601982694311        0.024065039502227714      0.0032620950660918746      
Lambda        VEGAHST|UVOT|UVOT_u       3427.5249234795483    All      -0.0003984191387599156    -2.576716817823284e-05    0.00011541161575246136    0.00012653529704878503     
Lambda        VEGAHST|UVOT|UVOT_v       5337.769924265001     All      0.000835476635275073      0.00013408222262316192    0.0004561396279925442     -0.00020811181876773048    
Lambda        VEGAHST|UVOT|UVOT_b       4296.311689890592     All      -0.0003759541933905314    -6.591857919574716e-05    -0.0028644138263010377    -2.6836833878976546e-05    
MWEBV         All|All|All               All                   All      -1.5263510686456145       -3.845767709093817        0.3614898918800188        -0.7393786727233355        
Redshift      All|All|All               All                   All      -0.2621099379638717       -0.34711307708752415      -4.849948074970162        -0.2441192265128875        
