#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_u       3427.5249234795483    All      -0.5480854890412551       0.150822236585757          0.893002995590414        0.2675078618967097         
Zeropoint     VEGAHST|UVOT|UVOT_v       5337.769924265001     All      2.0502116302820514        0.41583430735814275        1.2810364054561096       -0.47520369230502346       
Zeropoint     VEGAHST|UVOT|UVOT_b       4296.311689890592     All      -0.5050902565310994       0.4329994254916869         -2.117436812529605       0.2110751917609871         
Check         All|All|All               All                   All      0.9970358847096973        0.9996559694355867         0.05660258851691857      0.00337936135267336        
Lambda        VEGAHST|UVOT|UVOT_u       3427.5249234795483    All      0.0003713209454165667     -0.00018584330944891874    0.0016422821235443437    -0.00010819921952440079    
Lambda        VEGAHST|UVOT|UVOT_v       5337.769924265001     All      0.0007847111143200981     0.00010949933825511487     0.002566088977444018     -0.00010542592382903999    
Lambda        VEGAHST|UVOT|UVOT_b       4296.311689890592     All      -0.0004717587130937786    -0.0001499923288345261     -0.003272627167369146    -4.123242269391548e-05     
MWEBV         All|All|All               All                   All      -1.546492412837408        -3.8423670784444752        0.5398507721875834       -0.7237508501033774        
Redshift      All|All|All               All                   All      -1.2723856153169484       0.6462879664574928         -9.849701210543932       0.1854281810846653         
