#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4751.57579606515      All      -0.2606253447912253        0.4380446420408468        0.027832819585088542       0.22882185117759912        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4349.641430236282     All      -0.5177345188076417        0.3327955081490863        -0.1257602011022374        0.2714335112070754         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7520.163222954598     All      0.3122475833056215         -0.03930784534871279      0.009774583212351917       -0.11407697418704954       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3554.6319536765477    All      -0.2619116668948096        0.10171191963026516       -0.031059964791713135      0.11705810141648537        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6150.692363683132     All      1.0193679474226054         -0.04900790128008481      -0.02488020567828486       -0.34911545175264347       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5313.437005323704     All      0.7054451547613731         0.21345241191275122       0.14661006794717268        -0.1537156884494656        
Check         All|All|All                              All                   All      0.9967891549959236         0.9976887351041519        0.002517099172377746       0.00040534941200132124     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4751.57579606515      All      -0.0001451289933806133     -7.248001480209066e-05    -0.0008849597382151842     -1.5827526240051348e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4349.641430236282     All      -0.00023440412319815566    4.9431505677087716e-05    -0.0004547766759756315     7.216000790442406e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7520.163222954598     All      -7.57583406192094e-05      -7.993240385730338e-06    -0.00014700229913066284    1.551328509855969e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3554.6319536765477    All      -0.0005011517127378171     0.00010847042445695653    -0.0005175368031362428     0.00017547869549352067     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6150.692363683132     All      -0.000247952484437466      -2.868475536190934e-05    -0.00038316279381571633    5.4323917368991394e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5313.437005323704     All      0.0001417447459215345      -3.641199578682551e-05    -0.0009088471684725066     -9.858918690198483e-05     
MWEBV         All|All|All                              All                   All      -1.084437034191975         -3.971042338955222        -0.02325685259444432       -0.941300160771559         
Redshift      All|All|All                              All                   All      5.759891977325196          1.1260081160689772        4.4419805398467345         -1.311183233647302         
