#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4751.57579606515      All      -0.25723077743424005       0.4340150482175176         0.03400500024474486        0.2266789937085628         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4349.641430236282     All      -0.5295452700018253        0.3345259265211453         -0.14036765800737172       0.2751924519139937         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7520.163222954598     All      0.31809786799608053        -0.04125454440337961       0.01892522229641788        -0.11620835731102636       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3554.6319536765477    All      -0.30109760095994387       0.11248639957752715        -0.06544919176924352       0.13179721865312205        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6150.692363683132     All      1.0590317411416983         -0.05570466472404334       0.009140617594670915       -0.36269841734699404       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5313.437005323704     All      0.7050230973893585         0.21413360549562555        0.1443103403691594         -0.15345894959711992       
Check         All|All|All                              All                   All      0.9942790581311282         0.9982017706843926         0.000564330728377832       0.0013029400205382125      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4751.57579606515      All      -0.00013249897143733386    -3.157232665562749e-05     -0.0008006389224890843     -2.853709315732314e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4349.641430236282     All      -0.0002861647295005808     8.737922513490782e-05      -0.0004677493375286114     0.00010080205061696053     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7520.163222954598     All      -6.738574718031056e-05     -9.680648507419686e-06     -0.00015115436910827633    1.2051123812722155e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3554.6319536765477    All      -0.0005050220117465464     0.00012892040642949578     -0.00037082816889126287    0.00018994754366056648     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6150.692363683132     All      -0.0001878190620713785     -2.2231263974374007e-05    -0.00033183765744722397    3.912900294030451e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5313.437005323704     All      0.0001989856414877553      -1.7778085773481333e-05    -0.0008916511960991446     -0.00011039737495987605    
MWEBV         All|All|All                              All                   All      -1.066001267085824         -3.977837113239513         -0.025578341495467595      -0.949622175550022         
Redshift      All|All|All                              All                   All      5.658388272400391          0.6359994687261228         4.5458996500702            -1.433094642219756         
