#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6116.2962640738      All      0.08078628173840144      -0.05187343896828622       -0.39525003816159865      -0.060849829294731816      
Zeropoint     AB|PS|PS_i                5322.017106680306    All      3.240275598320364        0.13531996622262454        0.9356707109065998        -0.9696315129327476        
Zeropoint     AB|PS|PS_r                4393.943419413382    All      -2.320184925105452       0.9154089895123008         -0.5535014156172746       1.0292391598300281         
Check         All|All|All               All                  All      1.0008769549533132       0.9988555167666391         -0.013080742872273454     -0.0012421823974513302     
Lambda        AB|PS|PS_z                6116.2962640738      All      4.276683961566304e-05    -2.034828758890162e-05     -9.148126215483708e-05    -2.4641061928266236e-05    
Lambda        AB|PS|PS_i                5322.017106680306    All      0.0003342064788786256    3.597032300156678e-05      0.00031856085106778       -8.292941996116383e-05     
Lambda        AB|PS|PS_r                4393.943419413382    All      0.0004055447389085862    -0.00038149566567171245    -0.002038635769220858     -0.0003473399038969239     
MWEBV         All|All|All               All                  All      -0.1985213766523013      -2.5976122994403994        0.04348416516344322       -0.7795223427233572        
Redshift      All|All|All               All                  All      -2.9162307660489732      1.5695178463445814         -4.063785701037436        1.2798078082577935         
