#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -0.2695212429683371        0.45389930831367664        0.2194298997940658         0.24543402200449538        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.25444344608570596       0.08797932837216749        -0.030915293369182528      0.11015875546133402        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5224.537140534439     All      0.5608229783312332         0.22376522207325777        -0.1491633385083846        -0.11644727479922608       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      1.0608882556085266         -0.00922224596484611       -0.0458022516802048        -0.3506141400825931        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.46894060292459383       0.27786770649944614        -0.16428972766497907       0.2359285396527485         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      0.36485836517087655        -0.035998667994707745      0.17043395422216           -0.12296663890460859       
Check         All|All|All                              All                   All      0.9936643071319994         0.9982906512989942         -0.0003067572065251767     0.0014932633321501215      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -9.907383639124774e-05     -6.401778429419321e-05     -0.0005781909117943597     -1.4383095380707738e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.00034957321594550686    0.00010704208587804316     4.303411995618513e-05      0.00015065504112623694     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5224.537140534439     All      0.00013610182866407404     4.898063744872163e-05      -0.0010685217206760135     -7.606145503191084e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      -6.39209191625008e-05      -3.0125883871301886e-06    -0.0002263461092962671     9.739059870287304e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.00034349608780838203    9.374255969222368e-05      -0.0006863984284306197     0.00011179220286827713     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      -3.811711575369177e-05     -4.783941886142494e-06     -0.00020170392845797575    1.8565914230640379e-06     
MWEBV         All|All|All                              All                   All      -1.0447978665497946        -3.890641339698764         0.006201091741409037       -0.9267081184300965        
Redshift      All|All|All                              All                   All      5.478177730679828          0.2734149980134326         10.526058152185458         -1.22563282274169          
