#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -0.3253610107734843        0.4539557087529289         0.09950017938505393        0.2582893303264383        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.2566234573831534        0.09353528692335189        -0.03284177245863335       0.11259264543311809       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5224.537140534439     All      0.5624403771899024         0.23254314978444768        -0.025144909664129193      -0.10858048209428026      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      1.1075750329495098         -0.02682710730566029       -0.11049072813145823       -0.3744427915339348       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.48581859695884416       0.2882462880949177         -0.10645309425442945       0.24738788636511566       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      0.3918286140706865         -0.04331867357256769       0.17588777999836114        -0.13389272370797353      
Check         All|All|All                              All                   All      0.9940409590946168         0.9981346526774182         0.0004574548747648399      0.0013538647884834554     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4672.076510502357     All      -9.625897489169969e-05     -7.526965846009435e-05     -0.0005409744247384613     -1.73042930806397e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3495.1589045483033    All      -0.0004718399631843765     0.00013548203905293843     -6.340423370255678e-05     0.00019499531668406016    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5224.537140534439     All      0.00015922652392974345     5.346165748972259e-05      -0.0008719032334052596     -7.336013336043695e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6047.784261273346     All      -0.00017618089873287025    -1.5207968395050532e-05    -0.0007457040516171832     1.9156832334288478e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4276.866965300994     All      -0.0003024300428646188     0.000102608480285508       -0.00042845278177526644    0.00011281449252342518    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7394.342310230115     All      -7.879702928023241e-05     -3.949860811971505e-06     -0.00038165385082258315    7.348726679337788e-06     
MWEBV         All|All|All                              All                   All      -1.015949168057419         -3.9002946186593945        -0.004442049527621034      -0.9397244336766318       
Redshift      All|All|All                              All                   All      6.3064729960021735         0.30073697790387044        11.862420108965729         -1.4269004766026052       
